ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-02-26,World Health Organization COVID-19 Dashboard,411,"1,426,106,093",0.0288
COVID-19,Unspecified,CHINA,2020-02-27,World Health Organization COVID-19 Dashboard,440,"1,426,106,093",0.0309
COVID-19,Unspecified,CHINA,2020-02-28,World Health Organization COVID-19 Dashboard,329,"1,426,106,093",0.0231
COVID-19,Unspecified,CHINA,2020-02-29,World Health Organization COVID-19 Dashboard,430,"1,426,106,093",0.0302
COVID-19,Unspecified,CHINA,2020-03-01,World Health Organization COVID-19 Dashboard,579,"1,426,106,093",0.0406
COVID-19,Unspecified,CHINA,2020-03-02,World Health Organization COVID-19 Dashboard,206,"1,426,106,093",0.0144
COVID-19,Unspecified,CHINA,2020-03-03,World Health Organization COVID-19 Dashboard,128,"1,426,106,093",0.0090
COVID-19,Unspecified,CHINA,2020-03-04,World Health Organization COVID-19 Dashboard,120,"1,426,106,093",0.0084
COVID-19,Unspecified,CHINA,2020-03-05,World Health Organization COVID-19 Dashboard,143,"1,426,106,093",0.0100
COVID-19,Unspecified,CHINA,2020-03-06,World Health Organization COVID-19 Dashboard,145,"1,426,106,093",0.0102
COVID-19,Unspecified,CHINA,2020-03-07,World Health Organization COVID-19 Dashboard,103,"1,426,106,093",0.0072
COVID-19,Unspecified,CHINA,2020-03-08,World Health Organization COVID-19 Dashboard,46,"1,426,106,093",0.0032
COVID-19,Unspecified,CHINA,2020-03-09,World Health Organization COVID-19 Dashboard,45,"1,426,106,093",0.0032
COVID-19,Unspecified,CHINA,2020-03-10,World Health Organization COVID-19 Dashboard,20,"1,426,106,093",0.0014
COVID-19,Unspecified,CHINA,2020-03-11,World Health Organization COVID-19 Dashboard,31,"1,426,106,093",0.0022
COVID-19,Unspecified,CHINA,2020-03-12,World Health Organization COVID-19 Dashboard,25,"1,426,106,093",0.0018
COVID-19,Unspecified,CHINA,2020-03-13,World Health Organization COVID-19 Dashboard,11,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-03-14,World Health Organization COVID-19 Dashboard,30,"1,426,106,093",0.0021
COVID-19,Unspecified,CHINA,2020-03-15,World Health Organization COVID-19 Dashboard,27,"1,426,106,093",0.0019
COVID-19,Unspecified,CHINA,2020-03-16,World Health Organization COVID-19 Dashboard,29,"1,426,106,093",0.0020
COVID-19,Unspecified,CHINA,2020-03-17,World Health Organization COVID-19 Dashboard,40,"1,426,106,093",0.0028
COVID-19,Unspecified,CHINA,2020-03-18,World Health Organization COVID-19 Dashboard,34,"1,426,106,093",0.0024
COVID-19,Unspecified,CHINA,2020-03-19,World Health Organization COVID-19 Dashboard,86,"1,426,106,093",0.0060
COVID-19,Unspecified,CHINA,2020-03-20,World Health Organization COVID-19 Dashboard,63,"1,426,106,093",0.0044
COVID-19,Unspecified,CHINA,2020-03-21,World Health Organization COVID-19 Dashboard,116,"1,426,106,093",0.0081
COVID-19,Unspecified,CHINA,2020-03-22,World Health Organization COVID-19 Dashboard,82,"1,426,106,093",0.0057
COVID-19,Unspecified,CHINA,2020-03-23,World Health Organization COVID-19 Dashboard,103,"1,426,106,093",0.0072
COVID-19,Unspecified,CHINA,2020-03-24,World Health Organization COVID-19 Dashboard,146,"1,426,106,093",0.0102
COVID-19,Unspecified,CHINA,2020-03-25,World Health Organization COVID-19 Dashboard,101,"1,426,106,093",0.0071
COVID-19,Unspecified,CHINA,2020-03-26,World Health Organization COVID-19 Dashboard,113,"1,426,106,093",0.0079
COVID-19,Unspecified,CHINA,2020-03-27,World Health Organization COVID-19 Dashboard,117,"1,426,106,093",0.0082
COVID-19,Unspecified,CHINA,2020-03-28,World Health Organization COVID-19 Dashboard,135,"1,426,106,093",0.0095
COVID-19,Unspecified,CHINA,2020-03-29,World Health Organization COVID-19 Dashboard,128,"1,426,106,093",0.0090
COVID-19,Unspecified,CHINA,2020-03-30,World Health Organization COVID-19 Dashboard,106,"1,426,106,093",0.0074
COVID-19,Unspecified,CHINA,2020-03-31,World Health Organization COVID-19 Dashboard,98,"1,426,106,093",0.0069
COVID-19,Unspecified,CHINA,2020-04-01,World Health Organization COVID-19 Dashboard,86,"1,426,106,093",0.0060
COVID-19,Unspecified,CHINA,2020-04-02,World Health Organization COVID-19 Dashboard,93,"1,426,106,093",0.0065
COVID-19,Unspecified,CHINA,2020-04-03,World Health Organization COVID-19 Dashboard,78,"1,426,106,093",0.0055
COVID-19,Unspecified,CHINA,2020-04-04,World Health Organization COVID-19 Dashboard,73,"1,426,106,093",0.0051
COVID-19,Unspecified,CHINA,2020-04-05,World Health Organization COVID-19 Dashboard,55,"1,426,106,093",0.0039
COVID-19,Unspecified,CHINA,2020-04-06,World Health Organization COVID-19 Dashboard,75,"1,426,106,093",0.0053
COVID-19,Unspecified,CHINA,2020-04-07,World Health Organization COVID-19 Dashboard,67,"1,426,106,093",0.0047
COVID-19,Unspecified,CHINA,2020-04-08,World Health Organization COVID-19 Dashboard,85,"1,426,106,093",0.0060
COVID-19,Unspecified,CHINA,2020-04-09,World Health Organization COVID-19 Dashboard,92,"1,426,106,093",0.0065
COVID-19,Unspecified,CHINA,2020-04-10,World Health Organization COVID-19 Dashboard,56,"1,426,106,093",0.0039
COVID-19,Unspecified,CHINA,2020-04-11,World Health Organization COVID-19 Dashboard,64,"1,426,106,093",0.0045
COVID-19,Unspecified,CHINA,2020-04-12,World Health Organization COVID-19 Dashboard,113,"1,426,106,093",0.0079
COVID-19,Unspecified,CHINA,2020-04-13,World Health Organization COVID-19 Dashboard,115,"1,426,106,093",0.0081
COVID-19,Unspecified,CHINA,2020-04-14,World Health Organization COVID-19 Dashboard,99,"1,426,106,093",0.0069
COVID-19,Unspecified,CHINA,2020-04-15,World Health Organization COVID-19 Dashboard,49,"1,426,106,093",0.0034
COVID-19,Unspecified,CHINA,2020-04-16,World Health Organization COVID-19 Dashboard,52,"1,426,106,093",0.0036
