ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CANADA,2020-02-29,World Health Organization COVID-19 Dashboard,1,"38,171,902",0.0026
COVID-19,Unspecified,CANADA,2020-03-01,World Health Organization COVID-19 Dashboard,2,"38,171,902",0.0052
COVID-19,Unspecified,CANADA,2020-03-02,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-03-03,World Health Organization COVID-19 Dashboard,9,"38,171,902",0.0236
COVID-19,Unspecified,CANADA,2020-03-04,World Health Organization COVID-19 Dashboard,9,"38,171,902",0.0236
COVID-19,Unspecified,CANADA,2020-03-05,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-03-06,World Health Organization COVID-19 Dashboard,12,"38,171,902",0.0314
COVID-19,Unspecified,CANADA,2020-03-07,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-03-08,World Health Organization COVID-19 Dashboard,6,"38,171,902",0.0157
COVID-19,Unspecified,CANADA,2020-03-09,World Health Organization COVID-19 Dashboard,6,"38,171,902",0.0157
COVID-19,Unspecified,CANADA,2020-03-10,World Health Organization COVID-19 Dashboard,5,"38,171,902",0.0131
COVID-19,Unspecified,CANADA,2020-03-11,World Health Organization COVID-19 Dashboard,15,"38,171,902",0.0393
COVID-19,Unspecified,CANADA,2020-03-12,World Health Organization COVID-19 Dashboard,26,"38,171,902",0.0681
COVID-19,Unspecified,CANADA,2020-03-13,World Health Organization COVID-19 Dashboard,0,"38,171,902",0.0000
COVID-19,Unspecified,CANADA,2020-03-14,World Health Organization COVID-19 Dashboard,35,"38,171,902",0.0917
COVID-19,Unspecified,CANADA,2020-03-15,World Health Organization COVID-19 Dashboard,38,"38,171,902",0.0995
COVID-19,Unspecified,CANADA,2020-03-16,World Health Organization COVID-19 Dashboard,17,"38,171,902",0.0445
COVID-19,Unspecified,CANADA,2020-03-17,World Health Organization COVID-19 Dashboard,56,"38,171,902",0.1467
COVID-19,Unspecified,CANADA,2020-03-18,World Health Organization COVID-19 Dashboard,75,"38,171,902",0.1965
COVID-19,Unspecified,CANADA,2020-03-19,World Health Organization COVID-19 Dashboard,100,"38,171,902",0.2620
COVID-19,Unspecified,CANADA,2020-03-20,World Health Organization COVID-19 Dashboard,145,"38,171,902",0.3799
COVID-19,Unspecified,CANADA,2020-03-21,World Health Organization COVID-19 Dashboard,277,"38,171,902",0.7257
COVID-19,Unspecified,CANADA,2020-03-22,World Health Organization COVID-19 Dashboard,125,"38,171,902",0.3275
COVID-19,Unspecified,CANADA,2020-03-23,World Health Organization COVID-19 Dashboard,331,"38,171,902",0.8671
COVID-19,Unspecified,CANADA,2020-03-24,World Health Organization COVID-19 Dashboard,128,"38,171,902",0.3353
COVID-19,Unspecified,CANADA,2020-03-25,World Health Organization COVID-19 Dashboard,216,"38,171,902",0.5659
COVID-19,Unspecified,CANADA,2020-03-26,World Health Organization COVID-19 Dashboard,313,"38,171,902",0.8200
COVID-19,Unspecified,CANADA,2020-03-27,World Health Organization COVID-19 Dashboard,1426,"38,171,902",3.7357
COVID-19,Unspecified,CANADA,2020-03-28,World Health Organization COVID-19 Dashboard,633,"38,171,902",1.6583
COVID-19,Unspecified,CANADA,2020-03-29,World Health Organization COVID-19 Dashboard,657,"38,171,902",1.7212
COVID-19,Unspecified,CANADA,2020-03-30,World Health Organization COVID-19 Dashboard,711,"38,171,902",1.8626
COVID-19,Unspecified,CANADA,2020-03-31,World Health Organization COVID-19 Dashboard,869,"38,171,902",2.2765
COVID-19,Unspecified,CANADA,2020-04-01,World Health Organization COVID-19 Dashboard,1169,"38,171,902",3.0625
COVID-19,Unspecified,CANADA,2020-04-02,World Health Organization COVID-19 Dashboard,1112,"38,171,902",2.9131
COVID-19,Unspecified,CANADA,2020-04-03,World Health Organization COVID-19 Dashboard,1059,"38,171,902",2.7743
COVID-19,Unspecified,CANADA,2020-04-04,World Health Organization COVID-19 Dashboard,1673,"38,171,902",4.3828
COVID-19,Unspecified,CANADA,2020-04-05,World Health Organization COVID-19 Dashboard,1251,"38,171,902",3.2773
COVID-19,Unspecified,CANADA,2020-04-06,World Health Organization COVID-19 Dashboard,1363,"38,171,902",3.5707
COVID-19,Unspecified,CANADA,2020-04-07,World Health Organization COVID-19 Dashboard,1614,"38,171,902",4.2282
COVID-19,Unspecified,CANADA,2020-04-08,World Health Organization COVID-19 Dashboard,1157,"38,171,902",3.0310
COVID-19,Unspecified,CANADA,2020-04-09,World Health Organization COVID-19 Dashboard,1230,"38,171,902",3.2223
COVID-19,Unspecified,CANADA,2020-04-10,World Health Organization COVID-19 Dashboard,1391,"38,171,902",3.6440
COVID-19,Unspecified,CANADA,2020-04-11,World Health Organization COVID-19 Dashboard,1474,"38,171,902",3.8615
COVID-19,Unspecified,CANADA,2020-04-12,World Health Organization COVID-19 Dashboard,1385,"38,171,902",3.6283
COVID-19,Unspecified,CANADA,2020-04-13,World Health Organization COVID-19 Dashboard,1168,"38,171,902",3.0598
COVID-19,Unspecified,CANADA,2020-04-14,World Health Organization COVID-19 Dashboard,1064,"38,171,902",2.7874
COVID-19,Unspecified,CANADA,2020-04-15,World Health Organization COVID-19 Dashboard,1298,"38,171,902",3.4004
COVID-19,Unspecified,CANADA,2020-04-16,World Health Organization COVID-19 Dashboard,1383,"38,171,902",3.6231
COVID-19,Unspecified,CANADA,2020-04-17,World Health Organization COVID-19 Dashboard,1318,"38,171,902",3.4528
COVID-19,Unspecified,CANADA,2020-04-18,World Health Organization COVID-19 Dashboard,1717,"38,171,902",4.4981
COVID-19,Unspecified,CANADA,2020-04-19,World Health Organization COVID-19 Dashboard,1791,"38,171,902",4.6919
COVID-19,Unspecified,CANADA,2020-04-20,World Health Organization COVID-19 Dashboard,1468,"38,171,902",3.8458
COVID-19,Unspecified,CANADA,2020-04-21,World Health Organization COVID-19 Dashboard,1436,"38,171,902",3.7619
COVID-19,Unspecified,CANADA,2020-04-22,World Health Organization COVID-19 Dashboard,2046,"38,171,902",5.3600
COVID-19,Unspecified,CANADA,2020-04-23,World Health Organization COVID-19 Dashboard,1590,"38,171,902",4.1654
COVID-19,Unspecified,CANADA,2020-04-24,World Health Organization COVID-19 Dashboard,1767,"38,171,902",4.6291
COVID-19,Unspecified,CANADA,2020-04-25,World Health Organization COVID-19 Dashboard,1920,"38,171,902",5.0299
COVID-19,Unspecified,CANADA,2020-04-26,World Health Organization COVID-19 Dashboard,1778,"38,171,902",4.6579
COVID-19,Unspecified,CANADA,2020-04-27,World Health Organization COVID-19 Dashboard,1464,"38,171,902",3.8353
COVID-19,Unspecified,CANADA,2020-04-28,World Health Organization COVID-19 Dashboard,1543,"38,171,902",4.0422
COVID-19,Unspecified,CANADA,2020-04-29,World Health Organization COVID-19 Dashboard,1605,"38,171,902",4.2047
COVID-19,Unspecified,CANADA,2020-04-30,World Health Organization COVID-19 Dashboard,1526,"38,171,902",3.9977
COVID-19,Unspecified,CANADA,2020-05-01,World Health Organization COVID-19 Dashboard,1572,"38,171,902",4.1182
COVID-19,Unspecified,CANADA,2020-05-02,World Health Organization COVID-19 Dashboard,1638,"38,171,902",4.2911
COVID-19,Unspecified,CANADA,2020-05-03,World Health Organization COVID-19 Dashboard,1825,"38,171,902",4.7810
COVID-19,Unspecified,CANADA,2020-05-04,World Health Organization COVID-19 Dashboard,1653,"38,171,902",4.3304
COVID-19,Unspecified,CANADA,2020-05-05,World Health Organization COVID-19 Dashboard,2760,"38,171,902",7.2304
COVID-19,Unspecified,CANADA,2020-05-06,World Health Organization COVID-19 Dashboard,1298,"38,171,902",3.4004
COVID-19,Unspecified,CANADA,2020-05-07,World Health Organization COVID-19 Dashboard,1274,"38,171,902",3.3375
COVID-19,Unspecified,CANADA,2020-05-08,World Health Organization COVID-19 Dashboard,1449,"38,171,902",3.7960
COVID-19,Unspecified,CANADA,2020-05-09,World Health Organization COVID-19 Dashboard,1426,"38,171,902",3.7357
COVID-19,Unspecified,CANADA,2020-05-10,World Health Organization COVID-19 Dashboard,1512,"38,171,902",3.9610
COVID-19,Unspecified,CANADA,2020-05-11,World Health Organization COVID-19 Dashboard,1268,"38,171,902",3.3218
COVID-19,Unspecified,CANADA,2020-05-12,World Health Organization COVID-19 Dashboard,1146,"38,171,902",3.0022
COVID-19,Unspecified,CANADA,2020-05-13,World Health Organization COVID-19 Dashboard,1133,"38,171,902",2.9682
COVID-19,Unspecified,CANADA,2020-05-14,World Health Organization COVID-19 Dashboard,1175,"38,171,902",3.0782
COVID-19,Unspecified,CANADA,2020-05-15,World Health Organization COVID-19 Dashboard,1121,"38,171,902",2.9367
COVID-19,Unspecified,CANADA,2020-05-16,World Health Organization COVID-19 Dashboard,1211,"38,171,902",3.1725
COVID-19,Unspecified,CANADA,2020-05-17,World Health Organization COVID-19 Dashboard,1126,"38,171,902",2.9498
COVID-19,Unspecified,CANADA,2020-05-18,World Health Organization COVID-19 Dashboard,1251,"38,171,902",3.2773
COVID-19,Unspecified,CANADA,2020-05-19,World Health Organization COVID-19 Dashboard,1138,"38,171,902",2.9813
COVID-19,Unspecified,CANADA,2020-05-20,World Health Organization COVID-19 Dashboard,1070,"38,171,902",2.8031
COVID-19,Unspecified,CANADA,2020-05-21,World Health Organization COVID-19 Dashboard,1040,"38,171,902",2.7245
COVID-19,Unspecified,CANADA,2020-05-22,World Health Organization COVID-19 Dashboard,1011,"38,171,902",2.6485
COVID-19,Unspecified,CANADA,2020-05-23,World Health Organization COVID-19 Dashboard,1201,"38,171,902",3.1463
COVID-19,Unspecified,CANADA,2020-05-24,World Health Organization COVID-19 Dashboard,1156,"38,171,902",3.0284
COVID-19,Unspecified,CANADA,2020-05-25,World Health Organization COVID-19 Dashboard,1141,"38,171,902",2.9891
COVID-19,Unspecified,CANADA,2020-05-26,World Health Organization COVID-19 Dashboard,1078,"38,171,902",2.8241
COVID-19,Unspecified,CANADA,2020-05-27,World Health Organization COVID-19 Dashboard,1012,"38,171,902",2.6512
COVID-19,Unspecified,CANADA,2020-05-28,World Health Organization COVID-19 Dashboard,936,"38,171,902",2.4521
COVID-19,Unspecified,CANADA,2020-05-29,World Health Organization COVID-19 Dashboard,872,"38,171,902",2.2844
COVID-19,Unspecified,CANADA,2020-05-30,World Health Organization COVID-19 Dashboard,993,"38,171,902",2.6014
COVID-19,Unspecified,CANADA,2020-05-31,World Health Organization COVID-19 Dashboard,906,"38,171,902",2.3735
COVID-19,Unspecified,CANADA,2020-06-01,World Health Organization COVID-19 Dashboard,772,"38,171,902",2.0224
COVID-19,Unspecified,CANADA,2020-06-02,World Health Organization COVID-19 Dashboard,757,"38,171,902",1.9831
