ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,UNITED KINGDOM,2020-01-04,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-05,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-06,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-07,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-08,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-09,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-10,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-11,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-12,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-13,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-14,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-15,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-16,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-17,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-18,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-19,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-20,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-21,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
COVID-19,Unspecified,UNITED KINGDOM,2020-01-22,World Health Organization COVID-19 Dashboard,0,"67,351,861",0.0000
