country,benchmark_model,benchmark_n_forecasts,benchmark_n_success,benchmark_rmse,benchmark_mae,var2_model,var2_n_forecasts,var2_n_success,var2_rmse,var2_mae,var3_model,var3_n_forecasts,var3_n_success,var3_rmse,var3_mae,rmse_gain_var2,mae_gain_var2,var2_beats_benchmark_rmse,var2_beats_benchmark_mae,rmse_gain_var3,mae_gain_var3,var3_beats_benchmark_rmse,var3_beats_benchmark_mae,best_model_by_rmse,best_rmse,best_model_by_mae,best_mae,hhh4_full_rmse,hhh4_within_rmse,hhh4_full_mae,hhh4_within_mae,hhh4_full_n_forecasts,hhh4_within_n_forecasts,hhh4_rmse_gain_full_vs_within,hhh4_mae_gain_full_vs_within,hhh4_full_beats_within_rmse,hhh4_full_beats_within_mae
Australia,ETS,169,169,0.006442143093323792,0.004328508103321966,VAR(2),169,169,0.013227633794800568,0.007845026432591624,VAR(3),169,169,0.00962274247389215,0.006661428557586158,-0.006785490701476776,-0.003516518329269658,False,False,-0.0031805993805683573,-0.0023329204542641927,False,False,Selected benchmark,0.006442143093323792,Selected benchmark,0.004328508103321966,90.4765458900246,90.47654562305016,54.81954851351307,54.81954813591183,28,28,-2.66974439000478e-07,-3.776012391654149e-07,False,False
Brazil,ETS,169,169,0.03489636679882944,0.022991270845846925,VAR(2),169,169,0.035212780269848115,0.023788938249241973,VAR(3),169,169,0.037124701309139356,0.024567781053423374,-0.00031641347101867695,-0.0007976674033950484,False,False,-0.002228334510309918,-0.0015765102075764488,False,False,Selected benchmark,0.03489636679882944,Selected benchmark,0.022991270845846925,163317.92778393324,163317.92757950327,153859.91601880753,153859.91577858612,28,28,-0.0002044299617409706,-0.00024022141587920487,False,False
Canada,SARIMA,169,169,0.01641845849426713,0.013196960582388608,VAR(2),169,169,0.02716474839637808,0.02243362097287292,VAR(3),169,169,0.02680969580172504,0.021628161755402237,-0.010746289902110948,-0.00923666039048431,False,False,-0.010391237307457907,-0.008431201173013629,False,False,Selected benchmark,0.01641845849426713,Selected benchmark,0.013196960582388608,15544.22934764501,15544.229344590776,11997.191286253616,11997.191280100673,28,28,-3.0542341846739873e-06,-6.152942660264671e-06,False,False
China,SARIMA,169,169,0.0011384071856950324,0.0008543454864999397,VAR(2),169,169,0.0009630244225194976,0.0006020035476743914,VAR(3),169,169,0.0009501128447248357,0.0006045294109584865,0.00017538276317553478,0.00025234193882554823,True,True,0.00018829434097019672,0.00024981607554145323,True,True,VAR(3),0.0009501128447248357,VAR(2),0.0006020035476743914,839.2265742947661,839.2265742079014,512.5133578050377,512.5133574428047,28,28,-8.686470209795516e-08,-3.6223298138793325e-07,False,False
South Africa,ETS,169,169,0.020056722944012173,0.015634625654588355,VAR(2),169,169,0.023177520368285763,0.01741573725039128,VAR(3),169,169,0.02320001790000981,0.017350679414004193,-0.00312079742427359,-0.0017811115958029262,False,False,-0.0031432949559976366,-0.0017160537594158379,False,False,Selected benchmark,0.020056722944012173,Selected benchmark,0.015634625654588355,30321.376413615104,30321.376322270484,17788.20720653209,17788.207150499544,28,28,-9.134462015936151e-05,-5.6032546126516536e-05,False,False
United Kingdom,ETS,169,169,0.01774435528678806,0.012908365102701448,VAR(2),169,169,0.017906320118118796,0.01292435410498826,VAR(3),169,169,0.018279482304170827,0.013201185575681186,-0.00016196483133073744,-1.598900228681234e-05,False,False,-0.0005351270173827687,-0.0002928204729797379,False,False,Selected benchmark,0.01774435528678806,Selected benchmark,0.012908365102701448,79263.24220367197,79263.24199063281,47523.518625988974,47523.51852177856,28,28,-0.00021303915127646178,-0.00010421041224617511,False,False
United States,SARIMA,169,169,0.10264860639380198,0.0290129688032267,VAR(2),169,169,0.08930922901096153,0.025245304085159865,VAR(3),169,169,0.09294131918107147,0.027382210157578128,0.013339377382840453,0.0037676647180668356,True,True,0.009707287212730509,0.0016307586456485723,True,True,VAR(2),0.08930922901096153,VAR(2),0.025245304085159865,341076.6676241012,341076.6675074684,231038.4506204977,231038.4504420154,28,28,-0.00011663284385576844,-0.0001784822961781174,False,False
